Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time	Medal
100	Nazarbaev U 3 (Khassen, Asmatullayev, Iyembergen)	-13	.	.	.	+ (70:09)	+ (129:58)	+1 (83:13)	.	.	.	.	+ (47:08)	.	4	349	
101	Budenny Mil Telecom A (Kurenckov, Sablin, Sotin)	-4	.	.	.	+1 (93:37)	+ (174:56)	+ (50:55)	.	.	.	.	+ (31:47)	.	4	368	
102	Altai STU 1 (Ananev, Fast, Lozhkina)	.	.	.	.	+ (91:24)	+2 (189:18)	+ (49:43)	.	.	.	.	+ (13:05)	-5	4	382	
102	Tashkent br of MSU 1 (Akhmedshin, Pak, Shin)	-6	.	.	.	+1 (86:56)	+ (100:56)	+2 (121:52)	.	.	.	.	+ (15:43)	-7	4	382	
104	I of Math and CS Siberian FU (Durakov, Sukhikh, Bachurin)	-10	.	.	.	+1 (132:43)	+ (108:46)	+1 (57:26)	.	.	.	.	+ (55:19)	.	4	392	
105	Saratov SU 3 (Khudoshin, Lebedev, Georgiyev)	-4	.	.	.	+ (58:14)	+1 (152:49)	+2 (108:34)	.	.	.	.	+ (36:39)	.	4	414	
106	Moscow Eng Phys I 2 (Borzenkov, Latyshev, Gridasov)	.	.	.	.	+ (73:21)	+1 (196:21)	+1 (80:23)	.	.	.	.	+ (29:06)	.	4	418	
107	Yaroslavl SU 2 (Klimov, Lyutenkov, Vlasov)	-6	.	.	.	+ (44:06)	+1 (204:01)	+ (91:38)	.	.	.	.	+ (61:33)	.	4	420	
108	Crimean FU 1 (Ermachkov, Gurjiy, Korolev)	.	.	.	.	+2 (72:26)	+ (123:14)	+ (147:35)	.	.	.	.	+ (41:30)	.	4	423	
109	Petrozavodsk SU 2 (Ostakova, Masaeva, Klimenko)	-2	.	.	.	+2 (69:27)	+ (111:38)	+ (165:12)	.	.	.	.	+ (40:25)	.	4	425	
110	Novosibirsk STU 2 (Kim, Tolstobrov, Sychev)	-3	.	.	.	+ (97:54)	+2 (165:35)	+ (31:33)	.	.	.	.	+1 (76:56)	.	4	429	
111	Moscow Aviation I 3 (Grigoriev, Zabarin, Allakhverdyan)	-2	.	.	.	+ (174:41)	+ (141:49)	+1 (55:22)	.	.	.	.	+1 (29:07)	.	4	439	
112	Altai STU 4 (Rusakov, Kozlov, Avanesyan)	.	.	.	.	+ (85:22)	+1 (194:16)	+ (109:41)	.	.	.	.	+ (36:12)	.	4	444	
113	South Ural SU 3 (Mironov, Basmanov, Godun)	-1	.	.	.	+ (118:08)	+ (210:32)	+ (88:19)	.	.	.	.	+ (30:12)	.	4	446	
114	Chelyabinsk SU 1 (Soldatkin, Fomenko, Panasenko)	.	.	.	-7	+5 (32:44)	+2 (146:19)	+ (67:48)	.	.	.	.	+ (75:33)	.	4	460	
115	International IT U 2 (Chesnokov, Khlynovskiy, Tussupbekov)	.	.	.	.	+1 (127:59)	+1 (151:19)	+2 (91:51)	.	.	.	-1	+ (30:11)	.	4	479	
116	Russian-Armenian U 1 (Oganesyan, Grigoryan, Andreasyan)	-3	.	.	.	+1 (56:03)	+3 (152:31)	+2 (124:52)	.	.	.	.	+ (35:48)	.	4	487	
117	Novosibirsk SU 6 (Kozlov, Naumenko, Karpovskii)	.	.	.	.	+ (63:38)	+ (130:44)	+2 (198:46)	.	.	.	.	+ (70:29)	.	4	501	
118	Russian-Armenian U 4 (Tsirunyan, Sargsyan, Ghukasyan)	.	.	.	.	+2 (111:00)	+2 (202:23)	+1 (62:15)	.	.	.	.	+ (30:16)	.	4	505	
119	Novosibirsk SU 2 (Filippov, Bykova, Bykova)	+2 (296:07)	.	.	.	+ (102:39)	.	+ (46:41)	.	.	.	.	+ (22:59)	.	4	506	
120	Ural FU 5 (Kogut, Sychev, Bykov)	-5	.	.	.	+1 (124:56)	+1 (277:46)	+ (40:43)	.	.	.	.	+ (26:50)	.	4	507	
121	Ural FU 3 (Chizhov, Tsepov, Reshke)	.	.	.	.	+ (80:57)	+2 (229:17)	+2 (92:06)	.	.	.	.	+ (28:44)	.	4	509	
122	Mozhaisky Mil Eng Aerospace U 1 (Ilatovskiy, Lebedev, Garkavenko)	-11	.	.	.	+1 (123:32)	+2 (201:05)	+ (42:26)	.	.	.	.	+2 (45:06)	.	4	511	
123	Nizhny Novgorod SU 1 (Emelin, Mezina, Kulandin)	.	.	.	.	+2 (183:37)	+ (202:49)	+1 (55:30)	.	.	.	.	+ (14:35)	-1	4	514	
124	Perm SU 1 (Zubarev, Voloboev, Yourchatov)	.	.	.	.	+2 (106:22)	+1 (162:09)	+1 (122:46)	.	.	.	.	+ (46:45)	-2	4	516	
125	Novosibirsk SU 3 (Plyusnin, Kazak, Lozhnikov)	-3	.	.	.	+ (142:18)	+ (181:04)	+1 (114:45)	.	.	.	.	+1 (45:37)	.	4	522	
126	Tbilisi Free U 4 (Berishvili, Meshveliani, Khaduri)	-1	.	.	.	+ (128:50)	+2 (181:25)	+3 (85:01)	.	.	.	.	+1 (29:16)	.	4	543	
127	Novosibirsk SU 4 (Vaulin, Vlasov, Maksakovsky)	.	.	.	.	+1 (62:07)	+2 (268:26)	+1 (98:29)	.	.	.	.	+ (48:58)	.	4	556	
127	I of Space and IT Siberian FU 3 (Podreshetnikov, Dalinkevich, Halturin)	.	.	.	.	+4 (118:15)	+ (196:44)	+ (97:36)	.	.	.	.	+ (65:55)	.	4	556	
129	Kutaisi SU 1 (Leladze, Butskhrikidze, Gogsadze)	-1	.	.	.	+ (63:53)	+5 (199:10)	+1 (114:21)	.	.	.	.	+ (72:21)	.	4	568	
130	Tbilisi Free U 3 (Bezhanishvili, Bukhnikashvili, Tsertsvadze)	-4	.	.	.	+ (82:29)	+2 (88:22)	+2 (156:53)	.	.	.	.	+ (169:57)	.	4	575	
131	Kaunas TU (Jaugėla, Breidokas, Tamkus)	.	.	.	.	+2 (107:15)	+2 (219:48)	+ (50:48)	.	.	.	.	+ (122:16)	.	4	578	
132	Ural FU 1 (Rylov, Nesterova, Islamov)	.	.	.	.	+ (112:23)	+2 (291:18)	+ (68:57)	.	.	.	.	+ (74:49)	.	4	585	
133	Belarusian SUIR 3 (Tsishkouski, Dukhounik, Limontov)	-1	.	.	.	+4 (161:08)	+2 (175:39)	+ (54:36)	.	.	.	.	+1 (58:32)	.	4	588	
134	Tashkent U of IT 3 (Hasanov, Qodirov, Kamolov)	.	.	.	.	+ (138:05)	+2 (267:19)	+ (84:48)	.	.	.	.	+ (61:04)	.	4	590	
135	Perm br of NRU HSE 2 (Suntsev, Ketov, Kokovin)	-8	.	.	.	+ (142:22)	+7 (273:30)	+ (43:34)	.	.	.	.	+ (23:41)	.	4	621	
136	Ufa SATU 3 (Basharova, Belov, Nigmatullina)	-1	.	.	.	+ (158:14)	+ (185:09)	+1 (132:38)	.	.	.	.	+2 (97:59)	.	4	632	
137	I of Space and IT Siberian FU 1 (Garbart, Saenko, Kislov)	.	.	.	.	+ (132:44)	+6 (247:08)	+1 (27:31)	.	.	.	.	+1 (73:36)	.	4	639	
