Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time
121	Omsk State University 2 (Krivosheeva, Sakhno, Shatov)	+ (108:14)	.	.	.	.	.	.	+ (174:49)	.	.	.	.	.	2	282
122	Novosibirsk State University 4 (Arkhipov, Matveev, Permyashkin)	+ (49:28)	.	.	.	.	.	.	+4 (154:52)	.	-7	.	.	.	2	283
123	Kazan Federal University 2 (Balakirev, Gazizov, Nigmatullin)	+1 (145:01)	.	.	.	.	.	.	+ (122:53)	.	.	.	.	.	2	287
123	Irkutsk State Technical University (Chekan, Fefelov, Skorobogatov)	+ (82:55)	.	.	.	.	-4	.	+1 (185:34)	.	.	.	.	.	2	287
125	French-Georgian Institute (Gozalishvili, Rekhviashvili, Sultanishvili)	+ (120:15)	.	.	.	.	.	.	+ (189:41)	.	.	.	.	.	2	309
126	North-Eastern Federal University (Dobretsov, Khokholov, Petrov)	+2 (132:54)	.	.	.	-1	.	.	+2 (101:09)	.	.	.	.	.	2	313
127	Mordovian State University (Korovin, Kuznetsov, Nemchinova)	+2 (176:55)	.	.	.	.	.	.	+1 (89:55)	.	.	.	.	.	2	325
128	Chelyabinsk State University (Anfalov, Anfalova, Voronin)	+ (107:46)	.	.	.	.	.	.	+1 (209:46)	.	.	.	.	.	2	336
129	Samara National Research University 3 (Grinina, Murtazin, Rykov)	+4 (156:54)	.	.	.	.	.	.	+ (103:11)	.	.	.	.	.	2	339
130	Eurasian National University named L.N. Gumilev 2 (Karakozha, Muslim, Yessenbayev)	+2 (170:05)	.	.	.	.	.	.	+ (152:15)	.	.	.	.	.	2	362
131	Suleyman Demirel University 4 (Kabirov, Nadyrmagambet, Orazgalieva)	+1 (116:08)	.	.	.	.	.	.	+2 (202:49)	.	.	.	.	.	2	378
132	Altai State Technical University 2 (Galkin, Kozlov, Kozlov)	+ (200:42)	.	.	.	.	.	.	+3 (123:16)	.	-3	.	.	.	2	383
133	Free University of Tbilisi 5 (Donadze, Khaduri, Magaltadze)	+1 (77:56)	.	.	.	-1	.	.	+5 (191:45)	.	.	.	.	.	2	388
