Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
17	Moscow Engineering Physics Institute 1 (Minakov, Bidzilya, Urtashev)	+ (22:43)	.	-1	.	+ (46:31)	+ (49:57)	+ (115:35)	.	.	+ (126:46)	+ (260:05)	+ (76:23)	7	694
18	Moscow Institute of Physics and Technology 4 (Kulkov, Uvarov, Sverdlov)	+ (13:25)	.	.	.	+ (22:37)	+1 (66:22)	+ (93:32)	-1	.	+ (132:30)	+2 (264:14)	+ (173:28)	7	823
19	Moscow Institute of Physics and Technology 1 (Ostanin, Dmitriev, Babanin)	+ (14:04)	.	.	.	+ (21:36)	+ (123:08)	+ (62:14)	-2	.	+ (86:50)	+2 (281:54)	+ (203:46)	7	830
20	Moscow Institute of Physics and Technology 2 (Belykh, Popovkin, Proskurin)	+ (14:41)	.	+3 (279:53)	.	+ (22:53)	+2 (92:02)	+1 (76:48)	.	.	+ (153:57)	.	+1 (141:45)	7	917
21	Northern (Arctic) Federal University 1 (Dodin, Popovich, Chesnokov)	+ (19:18)	.	.	.	+ (23:09)	+2 (147:25)	+ (70:53)	.	.	+ (95:55)	+ (298:56)	+ (235:11)	7	927
22	Moscow Aviation Institute (Safronov, Yushchenko, Mingalev)	+ (15:31)	+1 (269:04)	.	.	+ (31:51)	+2 (79:09)	+2 (102:41)	.	.	+ (84:47)	.	+2 (212:46)	7	932
23	Ural Federal University 3 (Vyatskov, Chaplygin, Kungurtsev)	+ (13:38)	.	.	.	+ (22:21)	+ (108:57)	+ (89:08)	.	.	+3 (152:37)	+ (263:37)	+ (238:13)	7	945
24	Latvia University 1 (Pakalns, Kuznecovs, Ratnieks)	+ (30:18)	+1 (255:33)	.	.	+1 (34:30)	+ (78:29)	+ (100:17)	.	.	+ (197:32)	.	+ (212:18)	7	946
25	Kazakh-British TU 1 (Mussayev, Nurmash, Utemuratov)	+ (13:47)	.	.	.	+1 (52:49)	+4 (186:21)	+ (89:32)	.	.	+2 (133:48)	+2 (261:13)	+1 (215:17)	7	1149
26	SPb ITMO University 4 (Korchagin, Kisialiou, Berinchik)	+ (19:15)	-1	.	.	+ (11:34)	+ (85:20)	+ (37:04)	.	.	+1 (111:09)	.	+2 (248:59)	6	571
27	Saratov State University 1 (Dalabaev, Los, Kireev)	+ (18:57)	+ (272:23)	.	.	+ (23:39)	+1 (63:52)	+ (81:33)	.	.	-2	-3	+ (125:49)	6	602
28	Novosibirsk SU 4 (Viktorov, Smirnov, Vishnevskiy)	+ (28:49)	-2	.	.	+ (21:42)	+2 (165:42)	+ (59:54)	.	.	+ (228:57)	-4	+ (98:57)	6	639
29	Higher School of Economics 3 (Zetilov, Aleksandrov, Belov)	+ (17:10)	.	.	.	+ (29:44)	+2 (104:23)	+ (81:33)	.	.	+ (150:27)	-3	+2 (258:04)	6	719
30	Kazakh-British TU 4 (Aitzhan, Auganov, Dyussenaliyev)	+1 (16:47)	-2	.	.	+ (21:40)	+3 (125:08)	+ (51:14)	.	.	+ (70:18)	.	+4 (279:29)	6	722
31	Grodno Yanka Kupala SU (Kuis, Sergey, Zaneuski)	+ (25:31)	.	.	.	+ (36:21)	+1 (117:34)	+2 (73:54)	.	.	+ (131:04)	-5	+ (289:57)	6	731
32	Tyumen State University (Durynin, Yagudin, Avriskin)	+ (16:22)	-3	.	.	+ (21:13)	+4 (177:42)	+ (63:51)	.	.	+ (163:36)	+1 (241:31)	.	6	781
33	Yerevan State University 1 (Sahakyan, Mamikonyan, Harutyunyan)	+ (15:26)	.	-1	.	+ (25:09)	+1 (89:56)	+ (55:06)	.	.	-6	+4 (247:41)	+1 (235:35)	6	786
